Вакансия,Дата,Зарплата,Компания,Требуемый опыт работы,Тип занятости,Проживание,Гражданство,Обязанности:,Требования:,Образование:,Условия:,График работы:
Электромонтер по ремонту и обслуживанию электрооборудования,17 апреля 2023,25000,"КОМБИНАТ ХЛЕБОПРОДУКТОВ ""АРЧЕДИНСКИЙ"" ООО",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Среднее профессиональное,NULL,Сменный график
Слесарь,17 апреля 2023,20000,"КОМБИНАТ ХЛЕБОПРОДУКТОВ ""АРЧЕДИНСКИЙ"" ООО",Не имеет значения,Полная,Нет,РФ,NULL,NULL,NULL,NULL,Полный рабочий день
Техник-лаборант,17 апреля 2023,18000,"КОМБИНАТ ХЛЕБОПРОДУКТОВ ""АРЧЕДИНСКИЙ"" ООО",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Полное общее,NULL,Сменный график
Главный бухгалтер,17 апреля 2023,35000,"СКПК ""ДАНИЛОВСКИЙ""",Не имеет значения,Полная,Нет,РФ,NULL,NULL,Высшее,NULL,Полный рабочий день
Аппаратчик обработки зерна,17 апреля 2023,20000,"ОАО ""ЕЛАНСКИЙ ЭЛЕВАТОР""",Не имеет значения,Полная,Нет,РФ,"Ведение технологических процессов, путем набора с пульта управления элеватором;- Обслуживание и контроль сложных очистительных и зерносортировочных машин-агрегатов.",NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,40000,"АО ""ПТИЦЕФАБРИКА КРАСНОДОНСКАЯ""",Молодой специалист (1-3 года),Полная,Нет,РФ,исполнять обязанности квалифицированного работника по управлению С\Х техники,NULL,Среднее профессиональное,NULL,Полный рабочий день
Агроном,17 апреля 2023,25000,"ФИЛИАЛ ""КРАСНОЛИПОВСКИЙ"" ООО ""МЯСКО""",Молодой специалист (1-3 года),Полная,Нет,РФ,Выполнение обязанностей агронома по защите растений согласно должностной инструкции,NULL,Среднее профессиональное,NULL,Полный рабочий день
Тракторист-машинист,17 апреля 2023,20000,"ФИЛИАЛ ""КРАСНОЛИПОВСКИЙ"" ООО ""МЯСКО""",Молодой специалист (1-3 года),Полная,Нет,РФ,Выполнение обязанностей тракториста-машиниста согласно должностной инструкции,NULL,Среднее профессиональное,NULL,Полный рабочий день
Зоотехник,17 апреля 2023,25000,"ФИЛИАЛ ""КРАСНОЛИПОВСКИЙ"" ООО ""МЯСКО""",Молодой специалист (1-3 года),Полная,Нет,РФ,Выполнение обязанностей Зоотехника-селекционера  согласно должностной инструкции,NULL,Высшее,NULL,Полный рабочий день
Заведующий складом,17 апреля 2023,18336,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕЛАНЬ-АГРОИНВЕСТ""",Молодой специалист (1-3 года),Полная,Нет,РФ,"Организация и контроль работы тока;- Ведение учета зерноотходов на току, оформление документов по отгрузке зерновой продукции покупателям;- Своевременное ведение документации.",NULL,Среднее профессиональное,NULL,Полный рабочий день
Агроном,17 апреля 2023,25000,"АО ""АГРОФИРМА ""ВОСТОК""",Не имеет значения,Полная,Нет,РФ,"Организовать работу по выращиванию высококачественных сортовых семян и посадочного материала, а также создать в необходимом количестве семенного фонда для хозяйства.",NULL,Среднее профессиональное,NULL,Полный рабочий день
